Inkomsttyp;Inkomsttypsnamn;Inkomsthuvudgrupp;Inkomsthuvudgruppsnamn;Inkomsttitelgrupp;Inkomsttitelgruppsnamn;Inkomsttitel;Inkomsttitelsnamn;År;Statens budget;Utfall;Inkomsttyp utfallsår;Inkomsttypsnamn utfallsår;Inkomsthuvudgrupp utfallsår;Inkomsthuvudgruppsnamn utfallsår;Inkomsttitelgrupp utfallsår;Inkomsttitelgruppsnamn utfallsår;Inkomsttitel utfallsår;Inkomsttitelsnamn utfallsår
1000;Statens skatteinkomster;1100;Direkta skatter på arbete;1140-1160;Skattereduktioner;1147;Reparation och ombyggnad;2006;0;0;1000;Skatter m.m.;1100;Direkta skatter på arbete;1140;Skattereduktioner;1147;Reparation och ombyggnad
1000;Statens skatteinkomster;1100;Direkta skatter på arbete;1140-1160;Skattereduktioner;1148;Glesbygd;2006;-300;;1000;Skatter m.m.;1100;Direkta skatter på arbete;1140;Skattereduktioner;1148;Glesbygd
1000;Statens skatteinkomster;1100;Direkta skatter på arbete;1140-1160;Skattereduktioner;1149;Bredband;2006;-15;-20,797796;1000;Skatter m.m.;1100;Direkta skatter på arbete;1140;Skattereduktioner;1149;Bredband
1000;Statens skatteinkomster;1100;Direkta skatter på arbete;1140-1160;Skattereduktioner;1151;Sjöinkomst;2006;-77,620135;-77,305535;1000;Skatter m.m.;1100;Direkta skatter på arbete;1140;Skattereduktioner;1151;Sjöinkomst
1000;Statens skatteinkomster;1100;Direkta skatter på arbete;1140-1160;Skattereduktioner;1152;Stormskador;2006;-400;-730,263132;1000;Skatter m.m.;1100;Direkta skatter på arbete;1140;Skattereduktioner;1152;Stormskador
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1211;Sjukförsäkringsavgift;2006;94478,3736293;94084,87654786;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1211;Sjukförsäkringsavgift
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1212;Föräldraförsäkringsavgift;2006;24100,3457162;24229,76239442;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1212;Föräldraförsäkringsavgift
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1213;Arbetsskadeavgift;2006;7435,7979245;7498,70610528;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1213;Arbetsskadeavgift
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1214;Ålderspensionsavgift;2006;111678,4987154;112631,60945836;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1214;Ålderspensionsavgift
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1215;Efterlevandepensionsavgift;2006;18589,4948113;18745,83619919;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1215;Efterlevandepensionsavgift
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1216;Arbetsmarknadsavgift;2006;42583,1327227;44472,99863997;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1216;Arbetsmarknadsavgift
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1217;Allmän löneavgift;2006;48982,2860211;48342,13922891;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1217;Allmän löneavgift
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1218;Ofördelade avgifter;2006;0;-26,985596;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1218;Ofördelade avgifter
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1219;Nedsatta avgifter;2006;6077,6036951;5695,099608;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1210;Arbetsgivaravgifter;1219;Nedsatta avgifter
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1220;Särskild sjukförsäkringsavgift;1221;Särskild sjukförsäkringsavgift;2006;2479,413;1373,792826;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1220;Särskild sjukförsäkringsavgift;1221;Särskild sjukförsäkringsavgift
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1240;Egenavgifter;1241;Sjukförsäkringsavgift;2006;2848,4679848;3205,71595;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1240;Egenavgifter;1241;Sjukförsäkringsavgift
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1240;Egenavgifter;1242;Föräldraförsäkringsavgift;2006;725,4994123;801,806315;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1240;Egenavgifter;1242;Föräldraförsäkringsavgift
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1240;Egenavgifter;1243;Arbetsskadeavgift;2006;224,1501118;247,610451;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1240;Egenavgifter;1243;Arbetsskadeavgift
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1240;Egenavgifter;1244;Ålderspensionsavgift, netto;2006;3388,7503015;3774,397957;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1240;Egenavgifter;1244;Ålderspensionsavgift, netto
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1240;Egenavgifter;1245;Efterlevandepensionsavgift;2006;559,8583797;618,944186;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1240;Egenavgifter;1245;Efterlevandepensionsavgift
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1240;Egenavgifter;1246;Arbetsmarknadsavgift;2006;629,8088226;695,989514;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1240;Egenavgifter;1246;Arbetsmarknadsavgift
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1240;Egenavgifter;1247;Allmän löneavgift;2006;1510,4497946;1602,190366;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1240;Egenavgifter;1247;Allmän löneavgift
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1240;Egenavgifter;1248;Ofördelade avgifter;2006;0;0;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1240;Egenavgifter;1248;Ofördelade avgifter
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1260;Avgifter till premiepensionssystemet;1261;Avgifter till premiepensionssystemet;2006;;-22320,6642572;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1260;Avgifter till premiepensionssystemet;1261;Avgifter till premiepensionssystemet
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1270;Särskild löneskatt;1271;Pensionskostnader, företag;2006;22002,3797017;21568,705765;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1270;Särskild löneskatt;1271;Pensionskostnader, företag
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1270;Särskild löneskatt;1272;Pensionskostnader, staten;2006;2372,224329;2835,83228238;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1270;Särskild löneskatt;1272;Pensionskostnader, staten
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1270;Särskild löneskatt;1273;Förvärvsinkomster;2006;3179,002886;3016,884259;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1270;Särskild löneskatt;1273;Förvärvsinkomster
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1270;Särskild löneskatt;1274;Egenföretagare;2006;1454,0265688;1499,048069;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1270;Särskild löneskatt;1274;Egenföretagare
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1270;Särskild löneskatt;1275;Övrigt;2006;0;0;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1270;Särskild löneskatt;1275;Övrigt
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1280;Nedsättningar;1281;Sjöfartsstöd;2006;-2000;-1704,816387;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1280;Nedsättningar;1281;Sjöfartsstöd
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1280;Nedsättningar;1282;Arbetsgivaravgifter;2006;-6077,6036951;-5695,099608;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1280;Nedsättningar;1282;Arbetsgivaravgifter
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1280;Nedsättningar;1283;Egenavgifter, generell nedsättning;2006;-1257,5133283;-1338,677447;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1280;Nedsättningar;1283;Egenavgifter, generell nedsättning
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1280;Nedsättningar;1284;Egenavgifter, regional nedsättning;2006;-79,3908867;-86,200236;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1280;Nedsättningar;1284;Egenavgifter, regional nedsättning
1000;Statens skatteinkomster;1200;Indirekta skatter på arbete;1290;Tjänstegruppliv;1291;Tjänstegruppliv;2006;1212,1510443;1237,531304;1000;Skatter m.m.;1200;Indirekta skatter på arbete;1290;Tjänstegruppliv;1291;Tjänstegruppliv
1000;Statens skatteinkomster;1300;Skatt på kapital;1310;Skatt på kapital, hushåll;1311;Skatt på kapital;2006;30435,5709048;52731,681227;1000;Skatter m.m.;1300;Skatt på kapital;1310;Skatt på kapital, hushåll;1311;Skatt på kapital
1000;Statens skatteinkomster;1300;Skatt på kapital;1310;Skatt på kapital, hushåll;1312;Skattereduktion kapital;2006;-16770,4711353;-15587,800492;1000;Skatter m.m.;1300;Skatt på kapital;1310;Skatt på kapital, hushåll;1312;Skattereduktion kapital
1000;Statens skatteinkomster;1300;Skatt på kapital;1310;Skatt på kapital, hushåll;1313;Expansionsmedelsskatt;2006;93,9688801;279,392789;1000;Skatter m.m.;1300;Skatt på kapital;1310;Skatt på kapital, hushåll;1313;Expansionsmedelsskatt
1000;Statens skatteinkomster;1300;Skatt på kapital;1310;Skatt på kapital, hushåll;1314;Skattereduktion riskkapital;2006;0;0;1000;Skatter m.m.;1300;Skatt på kapital;1310;Skatt på kapital, hushåll;1314;Skattereduktion riskkapital
1000;Statens skatteinkomster;1300;Skatt på kapital;1320;Skatt på företagsvinster;1321;Skatt på företagsvinster;2006;72814,0009094;99217,033793;1000;Skatter m.m.;1300;Skatt på kapital;1320;Skatt på kapital, företagsvinster;1321;Skatt på företagsvinster
1000;Statens skatteinkomster;1300;Skatt på kapital;1320;Skatt på företagsvinster;1322;Skattereduktioner;2006;-15;-148,994245;1000;Skatter m.m.;1300;Skatt på kapital;1320;Skatt på kapital, företagsvinster;1322;Skattereduktioner
1000;Statens skatteinkomster;1300;Skatt på kapital;1330;Kupongskatt;1331;Kupongskatt;2006;2719,2200844;3880,128431;1000;Skatter m.m.;1300;Skatt på kapital;1330;Kupongskatt;1331;Kupongskatt
1000;Statens skatteinkomster;1300;Skatt på kapital;1340;Avkastningsskatt;1341;Avkastningsskatt hushåll;2006;144,37655;119,87025;1000;Skatter m.m.;1300;Skatt på kapital;1340;Avkastningsskatt;1341;Avkastningsskatt hushåll
1000;Statens skatteinkomster;1300;Skatt på kapital;1340;Avkastningsskatt;1342;Avkastningsskatt företag;2006;10810,5550743;10737,239133;1000;Skatter m.m.;1300;Skatt på kapital;1340;Avkastningsskatt;1342;Avkastningsskatt företag
1000;Statens skatteinkomster;1300;Skatt på kapital;1340;Avkastningsskatt;1343;Avkastningsskatt på individuellt pensionssparande;2006;180,065584;228,443098;1000;Skatter m.m.;1300;Skatt på kapital;1340;Avkastningsskatt;1343;Individuellt pensionssparnade
1000;Statens skatteinkomster;1300;Skatt på kapital;1350;Fastighetskatt;1351;Fastighetsskatt hushåll;2006;15784,9533857;13239,373725;1000;Skatter m.m.;1300;Skatt på kapital;1350;Fastighetskatt;1351;Fastighetsskatt hushåll
1000;Statens skatteinkomster;1300;Skatt på kapital;1350;Fastighetskatt;1352;Fastighetsskatt företag;2006;12299,4002226;11767,284825;1000;Skatter m.m.;1300;Skatt på kapital;1350;Fastighetskatt;1352;Fastighetsskatt företag
1000;Statens skatteinkomster;1300;Skatt på kapital;1360;Stämpelskatt;1361;Stämpelskatt;2006;7996,6564476;9470,87761966;1000;Skatter m.m.;1300;Skatt på kapital;1360;Stämpelskatt;1361;Stämpelskatt
1000;Statens skatteinkomster;1300;Skatt på kapital;1370;Förmögenhetsskatt;1371;Förmögenhetsskatt hushåll;2006;5536,0829135;5949,428927;1000;Skatter m.m.;1300;Skatt på kapital;1370;Förmögenhetsskatt;1371;Förmögenhetsskatt hushåll
1000;Statens skatteinkomster;1300;Skatt på kapital;1370;Förmögenhetsskatt;1372;Förmögenhetsskatt företag;2006;133,2758136;192,430415;1000;Skatter m.m.;1300;Skatt på kapital;1370;Förmögenhetsskatt;1372;Förmögenhetsskatt företag
1000;Statens skatteinkomster;1300;Skatt på kapital;1380;Arvsskatt;1381;Arvsskatt;2006;12;110,277206;1000;Skatter m.m.;1300;Skatt på kapital;1380;Arvs och gåvoskatt;1381;Arvsskatt
1000;Statens skatteinkomster;1300;Skatt på kapital;1380;Arvsskatt;1382;Gåvoskatt;2006;6;9,409211;1000;Skatter m.m.;1300;Skatt på kapital;1380;Arvs och gåvoskatt;1382;Gåvoskatt
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1410;Mervärdesskatt;1411;Mervärdesskatt;2006;258294,4845927;265673,24142934;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1410;Mervärdesskatt, hushåll;1411;Mervärdesskatt
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1410;Mervärdesskatt;1412;Skattelättnad för vissa byggtjänster;2006;-1000;-522,496558;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1410;Mervärdesskatt, hushåll;1412;Skattelättnad för vissa byggtjänster
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1420;Skatt på alkohol och tobak;1421;Skatt på tobak;2006;8378,1635201;8617,367842;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1420;Skatt på alkohol och tobak;1421;Skatt på tobak
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1420;Skatt på alkohol och tobak;1422;Skatt på etylalkohol;2006;3816,162209;4151,40233;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1420;Skatt på alkohol och tobak;1422;Skatt på etylalkohol
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1420;Skatt på alkohol och tobak;1423;Skatt på vin;2006;3574,6977348;3644,914135;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1420;Skatt på alkohol och tobak;1423;Skatt på vin
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1420;Skatt på alkohol och tobak;1424;Skatt på mellanklassprodukter;2006;181,0159772;180,563622;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1420;Skatt på alkohol och tobak;1424;Skatt på mellanklassprodukter
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1420;Skatt på alkohol och tobak;1425;Skatt på öl;2006;2605,2169477;2710,291885;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1420;Skatt på alkohol och tobak;1425;Skatt på öl
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1420;Skatt på alkohol och tobak;1426;Privatinförsel av alkohol och tobak;2006;1,7423333;0,94635318;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1420;Skatt på alkohol och tobak;1426;Privatinförsel av alkohol och tobak
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1430;Energiskatt;1431;Skatt på elektrisk kraft;2006;18507,7725699;19026,087947;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1430;Energiskatt;1431;Skatt på elektrisk kraft
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1430;Energiskatt;1432;Energiskatt bensin;2006;15193,4428549;14542,821596;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1430;Energiskatt;1432;Energiskatt bensin
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1430;Energiskatt;1433;Energiskatt oljeprodukter;2006;4583,9014811;4597,132587;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1430;Energiskatt;1433;Energiskatt oljeprodukter
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1430;Energiskatt;1434;Energiskatt övrigt;2006;106,9901661;78,225365;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1430;Energiskatt;1434;Energiskatt övrigt
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1440;Koldioxidskatt;1441;Koldioxidskatt bensin;2006;10548,6134824;10843,478047;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1440;Koldioxidskatt;1441;Koldioxidskatt bensin
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1440;Koldioxidskatt;1442;Koldioxidskatt oljeprodukter;2006;14041,2565981;12764,196787;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1440;Koldioxidskatt;1442;Koldioxidskatt oljeprodukter
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1440;Koldioxidskatt;1443;Koldioxidskatt övrigt;2006;1112,7417379;1135,520924;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1440;Koldioxidskatt;1443;Koldioxidskatt övrigt
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1450-1460;Övriga skatter på energi och miljö;1451;Svavelskatt;2006;92,2047667;79,7461;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1450;Övriga skatter på energi och miljö;1451;Svavelskatt
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1450-1460;Övriga skatter på energi och miljö;1452;Skatt på råtallolja;2006;23,1779823;16,080352;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1450;Övriga skatter på energi och miljö;1452;Skatt på råtallolja
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1450-1460;Övriga skatter på energi och miljö;1453;Särskild skatt mot försurning;2006;53,8913236;47,570535;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1450;Övriga skatter på energi och miljö;1453;Särskild skatt mot försurning
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1450-1460;Övriga skatter på energi och miljö;1454;Skatt på bekämpningsmedel;2006;364,1432699;375,67415387;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1450;Övriga skatter på energi och miljö;1454;Skatt på bekämpningsmedel och gödsel
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1450-1460;Övriga skatter på energi och miljö;1455;Skatt på termisk effekt i kärnkraftsreaktorer;2006;3163,989976;3197,998675;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1450;Övriga skatter på energi och miljö;1455;Skatt på termisk effekt i kärnkraftsreaktorer
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1450-1460;Övriga skatter på energi och miljö;1456;Avfallsskatt;2006;1648,682932;645,58168;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1450;Övriga skatter på energi och miljö;1456;Avfallsskatt
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1450-1460;Övriga skatter på energi och miljö;1457;Avgifter till Kemikalieinspektionen;2006;64,5;67,1551568;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1450;Övriga skatter på energi och miljö;1457;Avgifter till Kemikalieinspektionen
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1450-1460;Övriga skatter på energi och miljö;1458;Övriga skatter;2006;1261,4459327;251,238267;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1450;Övriga skatter på energi och miljö;1458;Övriga skatter
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1470;Skatt på vägtrafik;1471;Fordonsskatt;2006;10058,0301552;10571,92541012;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1470;Skatt på vägtrafik;1471;Fordonsskatt
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1470;Skatt på vägtrafik;1472;Vägavgifter;2006;823,7588473;718,37710517;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1470;Skatt på vägtrafik;1472;Vägavgifter
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1470;Skatt på vägtrafik;1473;Trängselskatt;2006;530,8333333;491,56754525;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1470;Skatt på vägtrafik;1473;Trängselskatt
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1481;Systembolaget AB:s överskott;2006;90;210;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1481;Systembolaget AB:s överskott
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1482;Inlevererat överskott från Svenska Spel AB;2006;3400;3436,616;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1482;Inlevererat överskott från Svenska Spel AB
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1483;Skatt på spel;2006;29,8861041;24,9803;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1483;Skatt på spel
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1484;Lotteriskatt;2006;1278,3910646;1243,241845;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1484;Lotteriskatt
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1485;Spelavgifter;2006;31,9;32,5626667;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1485;Lotteriavgifter
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1486;Skatt på annonser och reklam;2006;606,9096973;659,453733;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1486;Skatt på annonser och reklam
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1487;Koncessionsavgifter på televisionens område;2006;406;439,243469;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1487;Koncessionsavgifter på televisionens område
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1488;Lokalradioavgifter;2006;126;125,63305;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1488;Lokalradioavgifter
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1489;Avgifter avseende Myndigheten för radio och tv;2006;6,7;6,619;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1489;Avgifter till Granskningsnämnden
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1491;Avgifter för telekommunikation;2006;100;91,840391;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1491;Avgifter för telekommunikation
1000;Statens skatteinkomster;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1492;Försäljningsskatt på motorfordon;2006;0;1,664761;1000;Skatter m.m.;1400;Skatt på konsumtion och insatsvaror;1480;Övriga skatter;1492;Försäljningsskatt på motorfordon
1000;Statens skatteinkomster;1500;Skatt på import;1510;Skatt på import;1511;Tullmedel;2006;4342,9707598;4704,0610866;1000;Skatter m.m.;1500;Skatt på import;1510;Skatt på import;1511;Tullmedel
1000;Statens skatteinkomster;1500;Skatt på import;1510;Skatt på import;1512;Sockeravgifter;2006;343,8127624;232,69535639;1000;Skatter m.m.;1500;Skatt på import;1510;Skatt på import;1512;Jordbrukstullar och sockeravgifter
1000;Statens skatteinkomster;1500;Skatt på import;1510;Skatt på import;1513;Avgifter till EU:s omstruktureringsfond för sockersektorn;2006;;223,59424858;1000;Skatter m.m.;1500;Skatt på import;1510;Skatt på import;1513;Avgifter till EU:s omstruktureringsfond för sockersektorn
1000;Statens skatteinkomster;1600;Restförda och övriga skatter;1610;Restförda skatter;1611;Restförda skatter, hushåll;2006;-2104,8801492;-1853,16413708;1000;Skatter m.m.;1600;Restförda och övriga skatter;1610;Restförda skatter;1611;Restförda skatter, hushåll
